radius_meters,radius_in_Schwarzschild_radii,earth_years_per_1s_near_blackhole
140610.4960074833,4.759799331103679,1.125154052364415
141004.7088822215,4.77314381270903,1.1247359598473217
141398.92175695964,4.786488294314381,1.1243206604113993
141793.13463169782,4.799832775919732,1.1239081260767991
142187.34750643597,4.8131772575250835,1.1234983292371918
142581.56038117415,4.826521739130436,1.1230912426535418
142975.7732559123,4.839866220735786,1.1226868394480012
143369.98613065045,4.853210702341137,1.1222850930979282
143764.19900538863,4.866555183946488,1.1218859774300247
144158.41188012678,4.879899665551839,1.1214894666145865
144552.62475486496,4.893244147157191,1.1210955351598713
144946.8376296031,4.906588628762542,1.120704157906575
145341.05050434128,4.919933110367894,1.1203153100224155
145735.26337907944,4.933277591973244,1.1199289669968246
146129.4762538176,4.946622073578595,1.1195451046357416
146523.68912855576,4.9599665551839465,1.119163699056508
146917.90200329392,4.973311036789298,1.1187847266828612
147312.1148780321,4.986655518394649,1.1184081642400252
